"adresseid","distance_min_m","nombre_bornes_proches"
1,"45.47704983","3"
2,"34.18792064","3"
3,"38.90367185","3"
4,"35.25772437","4"
5,"25.10165331","2"
6,"24.16908808","3"
7,"25.18744195","3"
8,"15.6683005","2"
9,"23.17909485","3"
10,"35.84991067","4"
11,"25.91356186","4"
12,"34.6536683","3"
13,"48.90054023","2"
14,"39.3213657","2"
15,"62.54279386","3"
16,"54.82161726","3"
17,"61.08580184","3"
18,"69.00174486","3"
19,"59.17258262","3"
20,"72.65549362","4"
21,"13.77725284","3"
22,"24.45560861","3"
23,"17.42356254","2"
24,"12.91594114","2"
25,"29.9817981","3"
26,"25.64660853","2"
27,"23.98175158","2"
28,"40.28685063","2"
29,"41.0572339","2"
30,"51.47932534","3"
31,"55.60903477","3"
32,"65.55104679","3"
33,"70.31012992","3"
34,"66.70521778","2"
35,"56.61353126","3"
36,"55.60498553","2"
37,"57.05415823","4"
38,"42.14500963","2"
39,"42.86936236","3"
40,"30.44097052","3"
42,"22.80102816","3"
43,"13.32349875","2"
44,"24.05525252","3"
45,"11.48547542","2"
46,"32.55790515","3"
47,"24.3561921","3"
48,"46.48029299","4"
49,"38.55600471","3"
50,"51.76947447","3"
51,"42.40600721","1"
52,"42.4243747","2"
53,"19.35745676","1"
54,"32.66298409","2"
56,"27.79417194","2"
57,"15.60175794","2"
58,"31.7378361","2"
60,"38.74753673","2"
61,"41.07290922","2"
62,"49.29988517","3"
63,"66.49645238","3"
64,"35.83437893","3"
65,"32.6090937","4"
66,"32.95798409","3"
67,"41.10508942","2"
68,"53.2915474","4"
69,"53.50143361","4"
70,"50.97603083","4"
71,"43.91221481","4"
72,"42.29875183","4"
73,"29.74743517","3"
74,"17.36466116","2"
75,"15.28863574","1"
76,"63.52066759","3"
77,"65.00013512","3"
78,"61.42676281","3"
79,"55.66920019","4"
80,"47.67653866","2"
81,"42.08237779","2"
82,"55.42647844","2"
83,"29.14229372","1"
84,"30.94872571","1"
85,"37.92121257","2"
86,"46.54919583","2"
87,"56.21134667","3"
88,"50.20928711","4"
89,"70.90717324","2"
90,"59.14876565","4"
91,"56.37496141","2"
92,"68.76962636","4"
93,"42.2345997","1"
94,"51.53243335","3"
95,"43.38113989","3"
96,"51.2385299","3"
97,"29.51267526","3"
98,"40.35586575","3"
99,"53.0200099","3"
100,"19.86580189","3"
101,"16.3529228","3"
102,"27.57868765","2"
103,"27.59243762","3"
104,"41.71455147","2"
105,"34.17563047","2"
106,"45.66935562","3"
107,"45.57619273","3"
108,"65.90204316","4"
109,"61.75879089","3"
110,"33.48332397","2"
111,"43.18367959","2"
112,"63.76356424","2"
113,"70.90702827","2"
114,"74.35558129","3"
115,"241.38141248","0"
116,"120.87574276","0"
117,"30.00748192","1"
118,"33.48998194","1"
119,"43.10236667","6"
120,"68.17599886","3"
121,"70.49656062","2"
122,"58.41046928","2"
123,"36.5930506","1"
124,"40.57221532","1"
125,"46.42519425","4"
126,"17.0723951","2"
127,"27.14464424","2"
128,"49.70242751","3"
129,"29.21658423","2"
130,"14.82099583","2"
131,"18.88305241","2"
132,"54.6759058","2"
133,"64.19081887","2"
134,"64.65898512","3"
135,"47.39122348","2"
136,"31.64631023","1"
137,"69.48676929","2"
138,"23.17775361","1"
139,"45.06944711","2"
